tns_name,sub_num
FRB20230624B,1
FRB20230628B,1
FRB20230628F,1
FRB20230629J,1
FRB20230702E,1
FRB20230703A,1
FRB20230708C,1
FRB20230725D,1
FRB20230802A,2
FRB20230802C,1
FRB20230804A,3
FRB20230805B,1
FRB20230808D,1
FRB20230815C,2
FRB20230825E,1
FRB20230825I,1
FRB20230826A,1
FRB20230826B,1
FRB20230904A,1
FRB20230911B,2
FRB20230912E,1
